,x0 (px),y0 (px),gratio,axon_area (um²),axon_perimeter (um),myelin_area (um²),axon_diam (um),myelin_thickness (um),axonmyelin_area (um²),axonmyelin_perimeter (um),solidity,eccentricity,orientation
34,1030.706818181818,54.66590909090909,0.5594144469629285,7.436000000000001,11.616194077712562,16.325400000000002,3.076980541805663,1.2116894558727707,23.761400000000002,19.484692629208116,0.9090909090909091,0.885194334341405,0.22207046865624805
35,880.504,47.92,0.5933908290969268,2.1125000000000003,5.909259735953043,3.8870000000000005,1.6400361393131042,0.5619009446708622,5.9995,11.92621499812309,0.9057971014492754,0.8939698048459185,1.2140337946668995
36,896.8125,43.8125,0.8164965809277259,0.27040000000000003,1.5915432893255073,0.13520000000000001,0.5867571668896665,0.06593533200535566,0.40560000000000007,2.1115432893255073,1.0,0.6642297420901242,0.3011436730674821
37,574.0803571428571,49.57142857142857,0.5790762828137285,1.8928000000000003,5.097716446627535,3.7518000000000002,1.55241354357488,0.5642155435867202,5.6446000000000005,11.114671708797582,0.9256198347107438,0.7278469052790538,0.583714114213089
38,317.96895398821846,90.34516796688425,0.8314802364454249,106.14890000000001,41.97403604680328,47.387600000000006,11.625531261415038,1.1780988251418132,153.53650000000002,52.90485999249236,0.926948051948052,0.5669726009221532,0.5221241124012573
39,465.0743919885551,57.874105865522175,0.5879603127566134,11.813100000000002,13.346976182580578,22.358700000000002,3.878260701127627,1.3589329855010441,34.171800000000005,22.223931444750622,0.945872801082544,0.6880275194710046,1.5608357678581264
40,1141.6153846153845,48.15384615384615,1.0,0.21970000000000003,1.4392388155425118,0.0,0.5288957628666685,0.0,0.21970000000000003,1.4392388155425118,1.0,0.830708276629804,0.6410333991412496
41,1058.8294117647058,57.71176470588235,0.5423261445466404,2.873,6.55002092041053,6.895200000000001,1.9125943668285033,0.8070276959600811,9.7682,12.020052301026327,0.9340659340659341,0.8529834279205638,0.2690580660358925
42,600.187037037037,72.31296296296296,0.6237379188044181,9.126000000000001,13.454671708797582,14.3312,3.408751103447287,1.0281431878626772,23.457200000000004,20.036235918533624,0.9473684210526315,0.9337075460640647,0.31616582398090654
43,743.6060606060606,57.27272727272727,0.5310850045437944,0.5577000000000001,2.5869343417595165,1.4196000000000002,0.8426658258757147,0.37201073136214546,1.9773000000000003,4.958477631085024,0.9428571428571428,0.8185173941366463,0.8509669386579639
44,772.1428571428571,66.23002421307505,0.6593457682470277,6.979700000000001,10.93082394568908,9.0753,2.9810786722909572,0.770094473802687,16.055000000000003,15.68314933988261,0.9260089686098655,0.7968112487267166,1.2204986366075796
45,53.52095808383233,67.91616766467065,0.48328711297367904,2.8223000000000003,7.836955262170047,9.2612,1.8956434177096837,1.013376269346705,12.0835,16.65544335346034,0.8882978723404256,0.9361881262247959,0.14103064766627932
46,852.7142857142857,58.5,0.3075623426146228,0.23660000000000003,1.4076955262170048,2.2646,0.5488610719338178,0.6178455913181918,2.5012000000000003,6.209249275747778,1.0,0.2036532699906393,0.0
47,913.6976744186046,64.10077519379846,0.5515843389898484,2.1801000000000004,6.5815642097360385,4.985500000000001,1.666070086003926,0.6772236502153847,7.1656,11.083128419472075,0.9148936170212766,0.9483476464130488,1.1442467325126155
48,502.4935897435897,65.5,0.6971235962232342,2.6364,5.922325394193526,2.7885000000000004,1.8321486663859412,0.3980030243314813,5.424900000000001,8.572346314604056,0.9629629629629629,0.6669690524783873,-0.9092173786661929
49,143.83776223776223,80.30489510489511,0.7293792207206397,12.0835,14.158519471906086,10.6301,3.922395956403094,0.7276611536281867,22.713600000000003,18.673149339882603,0.9273670557717251,0.8080609388151163,0.11178557055295951
50,229.53891050583658,88.02626459143968,0.5855725945679203,17.3732,16.8216060505571,33.293000000000006,4.703216480090293,1.6643041538406036,50.6662,28.294734470029173,0.9457221711131555,0.8232078934803757,-0.11352089688592373
51,822.7741935483871,70.93841642228739,0.5693368833054953,5.762900000000001,9.460041840821061,12.015900000000002,2.7087916443230307,1.0245047231502,17.7788,18.15776874765386,0.9445983379501385,0.7587987546051567,1.3362101941053883
52,410.957805907173,73.13502109704642,0.6476642853737364,4.0053,7.28541197284454,5.543200000000001,2.2582529416625916,0.6142558590739735,9.5485,14.535453813665603,0.9595141700404858,0.3302518461839535,0.08477950228873767
53,868.4421296296297,105.53993055555556,0.7434938529705476,58.406400000000005,30.4470598642227,47.25240000000001,8.623533970804534,1.4875640624269486,105.65880000000001,43.94172111281502,0.9602667407613226,0.754737929921104,0.06572933974509866
54,553.2935153583618,101.80849450132726,0.6981623621469931,44.56530000000001,30.344776310850236,46.86370000000001,7.532748653910202,1.628322567579179,91.42900000000002,37.07785242929599,0.9337818696883853,0.5373229889388522,0.16108550211900108
55,433.2274678111588,82.7510729613734,0.6160185284239132,3.9377000000000004,7.868498551495555,6.4389,2.2391148597835824,0.6978512651943535,10.376600000000002,13.378519471906085,0.9282868525896414,0.8279279352311413,-0.026253106893886203
56,113.04651162790698,84.31395348837209,0.7622867446578624,1.4534000000000002,4.416173157302029,1.0478,1.3603405288081678,0.21210586288101685,2.5012000000000003,6.536955262170047,0.8865979381443299,0.5850986963698508,0.05854091728100001
57,723.6060606060606,81.65151515151516,0.5489716413565445,1.1154000000000002,4.026173157302028,2.5857,1.1917094395017607,0.4895469200833462,3.7011000000000003,7.3169552621700475,0.88,0.8467827697622196,-1.1081068946088524
58,1071.5398230088495,105.17463126843658,0.729851934735625,28.645500000000002,21.86164789137816,25.130300000000002,6.039253544827465,1.1176874261264618,53.775800000000004,28.6270598642227,0.9543918918918919,0.8555070271127584,0.5994795246534779
59,939.635838150289,89.52023121387283,0.5858787999697278,2.9237,6.429259735953043,5.5939000000000005,1.9293963970481016,0.6818850172774026,8.517600000000002,11.517737367038068,0.9611111111111111,0.6446652170768639,0.2602227545591999
60,832.0,81.0,1.0,0.016900000000000002,0.0,0.0,0.14668929172241663,0.0,0.016900000000000002,0.0,1.0,0.0,0.7853981633974483
61,834.0,81.0,0.7071067811865475,0.016900000000000002,0.0,0.016900000000000002,0.14668929172241663,0.030380347043164186,0.033800000000000004,0.0,1.0,0.0,0.7853981633974483
62,1010.35,87.26,0.5314940034527338,1.6900000000000002,5.250020920410531,4.2926,1.4668929172241663,0.6465248182930364,5.982600000000001,11.146214998123089,0.9259259259259259,0.9076316952557184,-1.0538174724844809
